;;;;;;;;;;;;
1;0.000000;81.56.5.234;172.16.178.52;UDP;62;8001000000000000000000002efd7a5c00000000;11969 → 58607 Len=20;;;;;
2;0.317628;172.16.178.52;81.56.5.234;UDP;62;800100000000000000000000396fc68900000000;58607 → 11969 Len=20;;;;;
3;0.397600;172.16.178.52;81.56.5.234;UDP;66;39efda96c00002ba17ea05af396fc6890052070177230000;58607 → 11969 Len=24;;;;;
4;0.404341;172.16.178.52;81.56.5.234;UDP;263;39efda97c00002bb17ea2009396fc6890052070277e500c5255218144616000042100006616374696f6e10000f656e63727970745f6368616e6e656c1000056167656e7442100008706c6174666f726d1000034d616310000474797065100005647269766510000776657273696f6e421000056275696c6401023eef1000056d616a6f720101031000046d696e690101021000056d696e6f7201010540401000097365727665725f69644210000a726573746f72655f696410002065366463623139396236316536346562643265383766653064393133383734334040;58607 → 11969 Len=221;;;;;
5;0.408882;172.16.184.91;224.0.0.251;MDNS;98;;"Standard query 0x0000 TXT wendy❤️._companion-link._tcp.local, ""QU"" question";;;;;
6;0.408883;fe80::41e:385d:d886:5509;ff02::fb;MDNS;118;;"Standard query 0x0000 TXT wendy❤️._companion-link._tcp.local, ""QU"" question";;;;;
7;0.410232;0.0.0.0;255.255.255.255;DHCP;342;;DHCP Request  - Transaction ID 0x69f8f4aa;;;;;
8;0.410233;172.16.176.211;224.0.0.251;MDNS;205;;"Standard query 0x0000 PTR _rdlink._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR iPad di Davide._companion-link._tcp.local PTR iPadCeleste._companion-link._tcp.local PTR dvddmgM4._companion-link._tcp.local PTR iPad di Gaia._companion-link._tcp.local";;;;;
9;0.410945;fe80::18f4:ee7:82b5:dcd3;ff02::fb;MDNS;225;;"Standard query 0x0000 PTR _rdlink._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR iPad di Davide._companion-link._tcp.local PTR iPadCeleste._companion-link._tcp.local PTR dvddmgM4._companion-link._tcp.local PTR iPad di Gaia._companion-link._tcp.local";;;;;
10;0.410947;aa:fb:de:9e:02:85;Broadcast;ARP;56;;Who has 172.16.178.199? (ARP Probe);;;;;
11;0.410948;HewlettPacka_b3:aa:0e;Broadcast;ARP;56;;Who has 172.16.164.85? Tell 172.16.128.1;;;;;
12;0.410949;HewlettPacka_b3:aa:0e;Broadcast;ARP;56;;Who has 172.16.150.20? Tell 172.16.128.1;;;;;
13;0.411242;HewlettPacka_b3:aa:0e;Broadcast;ARP;56;;Who has 172.16.137.185? Tell 172.16.128.1;;;;;
14;0.411325;HewlettPacka_b3:aa:0e;Broadcast;ARP;56;;Who has 172.16.188.212? Tell 172.16.128.1;;;;;
15;0.411591;HewlettPacka_b3:aa:0e;Broadcast;ARP;56;;Who has 172.16.157.26? Tell 172.16.128.1;;;;;
16;0.411676;aa:fb:de:9e:02:85;Broadcast;ARP;56;;Who has 172.16.178.199? (ARP Probe);;;;;
17;0.412519;172.16.142.61;239.255.255.250;SSDP;167;;M-SEARCH * HTTP/1.1;;;;;
